Algorithm,Alpha,Attack Type,Parameter,RecovBER
SVD(S),0.02,Salt&Pepper 1%,0.01,0
SVD(S),0.02,Salt&Pepper 5%,0.05,0
SVD(S),0.02,Quantize (32 levels),32,0.5625
SVD(S),0.02,Gamma 0.8,0.8,0.5625
SVD(S),0.02,Brightness +0.2,0.2,0.4375
SVD(S),0.02,Rotation 1 deg,1,0.53125
SVD(S),0.02,Rotation 5 deg,5,0.578125
SVD(S),0.02,Rotation 45 deg,45,0.5625
SVD(I),0.02,No Attack,0,0
SVD(I),0.02,Crop 50%,0.5,0.5625
SVD(I),0.02,Crop 70%,0.7,0.234375
SVD(I),0.02,Resize 50%,0.5,0.5625
SVD(I),0.02,Salt&Pepper 1%,0.01,0
SVD(I),0.02,Salt&Pepper 5%,0.05,0
SVD(I),0.02,Quantize (32 levels),32,0.5625
SVD(I),0.02,Gamma 0.8,0.8,0.5625
SVD(I),0.02,Brightness +0.2,0.2,0.4375
SVD(I),0.02,Rotation 1 deg,1,0.53125
SVD(I),0.02,Rotation 5 deg,5,0.578125
SVD(I),0.02,Rotation 45 deg,45,0.5625
DFT(L),0.02,No Attack,0,0.5625
DFT(L),0.02,Crop 50%,0.5,0.5625
DFT(L),0.02,Crop 70%,0.7,0.5625
DFT(L),0.02,Resize 50%,0.5,0.5625
DFT(L),0.02,Salt&Pepper 1%,0.01,0.5625
DFT(L),0.02,Salt&Pepper 5%,0.05,0.5625
DFT(L),0.02,Quantize (32 levels),32,0.5625
DFT(L),0.02,Gamma 0.8,0.8,0.5625
DFT(L),0.02,Brightness +0.2,0.2,0.5625
DFT(L),0.02,Rotation 1 deg,1,0.5625
DFT(L),0.02,Rotation 5 deg,5,0.5625
DFT(L),0.02,Rotation 45 deg,45,0.5625
DCT(O),0.02,No Attack,0,0
DCT(O),0.02,Crop 50%,0.5,0
DCT(O),0.02,Crop 70%,0.7,0
DCT(O),0.02,Resize 50%,0.5,0.515625
DCT(O),0.02,Salt&Pepper 1%,0.01,0
DCT(O),0.02,Salt&Pepper 5%,0.05,0
DCT(O),0.02,Quantize (32 levels),32,0
DCT(O),0.02,Gamma 0.8,0.8,0
DCT(O),0.02,Brightness +0.2,0.2,0
DCT(O),0.02,Rotation 1 deg,1,0.515625
DCT(O),0.02,Rotation 5 deg,5,0.5
DCT(O),0.02,Rotation 45 deg,45,0.546875
DWT(O),0.02,No Attack,0,0
DWT(O),0.02,Crop 50%,0.5,0.5625
DWT(O),0.02,Crop 70%,0.7,0.234375
DWT(O),0.02,Resize 50%,0.5,0
DWT(O),0.02,Salt&Pepper 1%,0.01,0
DWT(O),0.02,Salt&Pepper 5%,0.05,0
DWT(O),0.02,Quantize (32 levels),32,0.453125
DWT(O),0.02,Gamma 0.8,0.8,0
DWT(O),0.02,Brightness +0.2,0.2,0
DWT(O),0.02,Rotation 1 deg,1,0.5625
DWT(O),0.02,Rotation 5 deg,5,0.5625
DWT(O),0.02,Rotation 45 deg,45,0.5625
DFT(O),0.02,No Attack,0,0
DFT(O),0.02,Crop 50%,0.5,0.5625
DFT(O),0.02,Crop 70%,0.7,0.21875
DFT(O),0.02,Resize 50%,0.5,0.5625
DFT(O),0.02,Salt&Pepper 1%,0.01,0
DFT(O),0.02,Salt&Pepper 5%,0.05,0.4375
DFT(O),0.02,Quantize (32 levels),32,0.375
DFT(O),0.02,Gamma 0.8,0.8,0.4375
DFT(O),0.02,Brightness +0.2,0.2,0
DFT(O),0.02,Rotation 1 deg,1,0.46875
DFT(O),0.02,Rotation 5 deg,5,0.4375
DFT(O),0.02,Rotation 45 deg,45,0.4375
DCT(L),0.04,No Attack,0,0.015625
DCT(L),0.04,Crop 50%,0.5,0.203125
DCT(L),0.04,Crop 70%,0.7,0.09375
DCT(L),0.04,Resize 50%,0.5,0.4375
DCT(L),0.04,Salt&Pepper 1%,0.01,0.4375
DCT(L),0.04,Salt&Pepper 5%,0.05,0.4375
DCT(L),0.04,Quantize (32 levels),32,0.4375
DCT(L),0.04,Gamma 0.8,0.8,0.4375
DCT(L),0.04,Brightness +0.2,0.2,0.015625
DCT(L),0.04,Rotation 1 deg,1,0.4375
DCT(L),0.04,Rotation 5 deg,5,0.4375
DCT(L),0.04,Rotation 45 deg,45,0.4375
DWT(L),0.04,No Attack,0,0.015625
DWT(L),0.04,Crop 50%,0.5,0.4375
DWT(L),0.04,Crop 70%,0.7,0.390625
DWT(L),0.04,Resize 50%,0.5,0.4375
DWT(L),0.04,Salt&Pepper 1%,0.01,0.03125
DWT(L),0.04,Salt&Pepper 5%,0.05,0.28125
DWT(L),0.04,Quantize (32 levels),32,0.390625
DWT(L),0.04,Gamma 0.8,0.8,0.40625
DWT(L),0.04,Brightness +0.2,0.2,0.015625
DWT(L),0.04,Rotation 1 deg,1,0.4375
DWT(L),0.04,Rotation 5 deg,5,0.4375
DWT(L),0.04,Rotation 45 deg,45,0.4375
SVD(S),0.04,No Attack,0,0
SVD(S),0.04,Crop 50%,0.5,0.5625
SVD(S),0.04,Crop 70%,0.7,0.234375
SVD(S),0.04,Resize 50%,0.5,0.5625
SVD(S),0.04,Salt&Pepper 1%,0.01,0
SVD(S),0.04,Salt&Pepper 5%,0.05,0
SVD(S),0.04,Quantize (32 levels),32,0.5625
SVD(S),0.04,Gamma 0.8,0.8,0.5625
SVD(S),0.04,Brightness +0.2,0.2,0.4375
SVD(S),0.04,Rotation 1 deg,1,0.515625
SVD(S),0.04,Rotation 5 deg,5,0.578125
SVD(S),0.04,Rotation 45 deg,45,0.5625
SVD(I),0.04,No Attack,0,0
SVD(I),0.04,Crop 50%,0.5,0.5625
SVD(I),0.04,Crop 70%,0.7,0.234375
SVD(I),0.04,Resize 50%,0.5,0.5625
SVD(I),0.04,Salt&Pepper 1%,0.01,0
SVD(I),0.04,Salt&Pepper 5%,0.05,0
SVD(I),0.04,Quantize (32 levels),32,0.5625
SVD(I),0.04,Gamma 0.8,0.8,0.5625
SVD(I),0.04,Brightness +0.2,0.2,0.4375
SVD(I),0.04,Rotation 1 deg,1,0.515625
SVD(I),0.04,Rotation 5 deg,5,0.578125
SVD(I),0.04,Rotation 45 deg,45,0.5625
DFT(L),0.04,No Attack,0,0.5625
DFT(L),0.04,Crop 50%,0.5,0.5625
DFT(L),0.04,Crop 70%,0.7,0.5625
DFT(L),0.04,Resize 50%,0.5,0.5625
DFT(L),0.04,Salt&Pepper 1%,0.01,0.5625
DFT(L),0.04,Salt&Pepper 5%,0.05,0.5625
DFT(L),0.04,Quantize (32 levels),32,0.5625
DFT(L),0.04,Gamma 0.8,0.8,0.5625
DFT(L),0.04,Brightness +0.2,0.2,0.5625
DFT(L),0.04,Rotation 1 deg,1,0.5625
DFT(L),0.04,Rotation 5 deg,5,0.5625
DFT(L),0.04,Rotation 45 deg,45,0.5625
DCT(O),0.04,No Attack,0,0
DCT(O),0.04,Crop 50%,0.5,0
DCT(O),0.04,Crop 70%,0.7,0
DCT(O),0.04,Resize 50%,0.5,0.515625
DCT(O),0.04,Salt&Pepper 1%,0.01,0
DCT(O),0.04,Salt&Pepper 5%,0.05,0
DCT(O),0.04,Quantize (32 levels),32,0
DCT(O),0.04,Gamma 0.8,0.8,0
DCT(O),0.04,Brightness +0.2,0.2,0
DCT(O),0.04,Rotation 1 deg,1,0.453125
DCT(O),0.04,Rotation 5 deg,5,0.484375
DCT(O),0.04,Rotation 45 deg,45,0.46875
DWT(O),0.04,No Attack,0,0
DWT(O),0.04,Crop 50%,0.5,0.5625
DWT(O),0.04,Crop 70%,0.7,0.234375
DWT(O),0.04,Resize 50%,0.5,0
DWT(O),0.04,Salt&Pepper 1%,0.01,0
DWT(O),0.04,Salt&Pepper 5%,0.05,0
DWT(O),0.04,Quantize (32 levels),32,0.1875
DWT(O),0.04,Gamma 0.8,0.8,0
DWT(O),0.04,Brightness +0.2,0.2,0
DWT(O),0.04,Rotation 1 deg,1,0.5625
DWT(O),0.04,Rotation 5 deg,5,0.5625
DWT(O),0.04,Rotation 45 deg,45,0.5625
DFT(O),0.04,No Attack,0,0
DFT(O),0.04,Crop 50%,0.5,0.5625
DFT(O),0.04,Crop 70%,0.7,0.21875
DFT(O),0.04,Resize 50%,0.5,0.5625
DFT(O),0.04,Salt&Pepper 1%,0.01,0
DFT(O),0.04,Salt&Pepper 5%,0.05,0.4375
DFT(O),0.04,Quantize (32 levels),32,0.375
DFT(O),0.04,Gamma 0.8,0.8,0.296875
DFT(O),0.04,Brightness +0.2,0.2,0
DFT(O),0.04,Rotation 1 deg,1,0.453125
DFT(O),0.04,Rotation 5 deg,5,0.4375
DFT(O),0.04,Rotation 45 deg,45,0.4375
DCT(L),0.06,No Attack,0,0.015625
DCT(L),0.06,Crop 50%,0.5,0.203125
DCT(L),0.06,Crop 70%,0.7,0.109375
DCT(L),0.06,Resize 50%,0.5,0.4375
DCT(L),0.06,Salt&Pepper 1%,0.01,0.4375
DCT(L),0.06,Salt&Pepper 5%,0.05,0.4375
DCT(L),0.06,Quantize (32 levels),32,0.4375
DCT(L),0.06,Gamma 0.8,0.8,0.4375
DCT(L),0.06,Brightness +0.2,0.2,0.015625
DCT(L),0.06,Rotation 1 deg,1,0.4375
DCT(L),0.06,Rotation 5 deg,5,0.4375
DCT(L),0.06,Rotation 45 deg,45,0.4375
DWT(L),0.06,No Attack,0,0.015625
DWT(L),0.06,Crop 50%,0.5,0.4375
DWT(L),0.06,Crop 70%,0.7,0.390625
DWT(L),0.06,Resize 50%,0.5,0.4375
DWT(L),0.06,Salt&Pepper 1%,0.01,0.03125
DWT(L),0.06,Salt&Pepper 5%,0.05,0.28125
DWT(L),0.06,Quantize (32 levels),32,0.359375
DWT(L),0.06,Gamma 0.8,0.8,0.40625
DWT(L),0.06,Brightness +0.2,0.2,0.015625
DWT(L),0.06,Rotation 1 deg,1,0.4375
DWT(L),0.06,Rotation 5 deg,5,0.4375
DWT(L),0.06,Rotation 45 deg,45,0.4375
SVD(S),0.06,No Attack,0,0
