Iteration,Algorithm,Resolution,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
374,DWT (Legacy),FHD,0.493997,0.989088,40.3588,22.1336,0.430906
375,DWT (Legacy),FHD,0.494997,0.999552,40.8897,22.129,0.430765
375,DWT (Legacy),FHD,0.495997,0.987136,39.187,22.1241,0.430697
375,DWT (Legacy),FHD,0.496997,0.989216,41.174,22.1189,0.430821
375,DWT (Legacy),FHD,0.497997,0.98576,40.0557,22.1144,0.430911
376,DWT (Legacy),FHD,0.498997,1.00432,40.7357,22.1098,0.430865
376,DWT (Legacy),FHD,0.499997,0.991232,42.2478,22.1052,0.430721
376,DWT (Legacy),FHD,0.500997,0.987136,45.172,22.1004,0.430648
376,DWT (Legacy),FHD,0.501997,0.986944,43.365,22.0954,0.430763
377,DWT (Legacy),FHD,0.502997,0.985824,41.9609,22.0905,0.430861
377,DWT (Legacy),FHD,0.503997,0.9992,39.9568,22.0861,0.430807
377,DWT (Legacy),FHD,0.504997,0.985696,39.3658,22.0815,0.430659
377,DWT (Legacy),FHD,0.505997,0.989184,40.293,22.077,0.430569
378,DWT (Legacy),FHD,0.506997,0.98784,43.4069,22.0717,0.430698
378,DWT (Legacy),FHD,0.507997,0.986784,56.9168,22.0669,0.430794
378,DWT (Legacy),FHD,0.508997,0.987424,47.7125,22.0625,0.430738
378,DWT (Legacy),FHD,0.509997,0.989248,40.7577,22.058,0.430583
379,DWT (Legacy),FHD,0.510997,0.98704,47.3832,22.0535,0.430489
379,DWT (Legacy),FHD,0.511997,0.986048,40.7782,22.0487,0.430578
379,DWT (Legacy),FHD,0.512997,1.55853,41.4303,22.0433,0.430712
379,DWT (Legacy),FHD,0.513997,0.9912,39.159,22.0389,0.430655
380,DWT (Legacy),FHD,0.514997,0.98704,42.8407,22.0345,0.430497
380,DWT (Legacy),FHD,0.515997,0.987104,41.2814,22.0301,0.430401
380,DWT (Legacy),FHD,0.516997,0.987136,42.8152,22.0253,0.430488
380,DWT (Legacy),FHD,0.517997,0.988448,40.7735,22.0202,0.430604
381,DWT (Legacy),FHD,0.518997,0.987744,41.3823,22.0155,0.430565
381,DWT (Legacy),FHD,0.519997,0.985952,41.1812,22.0112,0.430416
381,DWT (Legacy),FHD,0.520997,0.99968,41.8856,22.0068,0.43031
381,DWT (Legacy),FHD,0.521997,0.986656,41.0975,22.0022,0.430393
382,DWT (Legacy),FHD,0.522997,0.987328,40.5875,21.9969,0.430513
382,DWT (Legacy),FHD,0.523997,0.988928,47.0162,21.9923,0.430474
382,DWT (Legacy),FHD,0.524997,0.987136,42.0479,21.988,0.430323
382,DWT (Legacy),FHD,0.525997,0.987776,39.1541,21.9837,0.430229
383,DWT (Legacy),FHD,0.526997,0.987104,41.9182,21.9793,0.430296
383,DWT (Legacy),FHD,0.527997,0.985504,42.6883,21.9742,0.430422
383,DWT (Legacy),FHD,0.528997,0.989184,39.638,21.9691,0.43039
383,DWT (Legacy),FHD,0.529997,0.987136,40.9723,21.9649,0.430243
384,DWT (Legacy),FHD,0.530997,0.98736,39.7381,21.9606,0.430149
384,DWT (Legacy),FHD,0.531997,0.988608,42.0798,21.9563,0.430215
384,DWT (Legacy),FHD,0.532997,0.99152,39.8486,21.9514,0.430328
384,DWT (Legacy),FHD,0.533997,0.98816,39.5945,21.9463,0.430303
385,DWT (Legacy),FHD,0.534997,0.986848,40.866,21.9419,0.430155
385,DWT (Legacy),FHD,0.535997,0.986016,43.2584,21.9377,0.430066
385,DWT (Legacy),FHD,0.536997,0.98768,40.3341,21.9334,0.430133
385,DWT (Legacy),FHD,0.537997,0.987136,42.9492,21.9288,0.430256
386,DWT (Legacy),FHD,0.538997,0.987296,48.4428,21.9235,0.430222
386,DWT (Legacy),FHD,0.539997,0.986624,40.0707,21.919,0.430072
386,DWT (Legacy),FHD,0.540997,0.986816,40.2688,21.9149,0.42998
386,DWT (Legacy),FHD,0.541997,1.00922,39.5141,21.9107,0.43005
387,DWT (Legacy),FHD,0.542997,0.99024,41.3602,21.9062,0.430167
387,DWT (Legacy),FHD,0.543997,0.98896,40.0743,21.9012,0.43015
387,DWT (Legacy),FHD,0.544997,1.0015,39.1993,21.8962,0.429987
387,DWT (Legacy),FHD,0.545997,0.987648,40.6939,21.8922,0.429895
388,DWT (Legacy),FHD,0.546997,0.993184,41.1865,21.888,0.429967
388,DWT (Legacy),FHD,0.547997,0.987616,39.2067,21.8835,0.430085
388,DWT (Legacy),FHD,0.548997,0.988672,40.0974,21.8787,0.430067
388,DWT (Legacy),FHD,0.549996,0.997344,39.0685,21.8738,0.429912
389,DWT (Legacy),FHD,0.550996,0.995104,41.6588,21.8695,0.429807
389,DWT (Legacy),FHD,0.551996,0.985088,41.3077,21.8654,0.42988
389,DWT (Legacy),FHD,0.552996,0.986656,39.9006,21.861,0.429997
389,DWT (Legacy),FHD,0.553996,1.82662,42.766,21.8565,0.429997
390,DWT (Legacy),FHD,0.554996,0.98608,41.5353,21.8513,0.429825
390,DWT (Legacy),FHD,0.555996,0.987328,39.5093,21.8469,0.429714
390,DWT (Legacy),FHD,0.556996,0.989184,40.3566,21.8429,0.429785
390,DWT (Legacy),FHD,0.557996,0.986336,39.9343,21.8386,0.429904
391,DWT (Legacy),FHD,0.558996,0.987136,41.8616,21.8342,0.429899
391,DWT (Legacy),FHD,0.559996,0.986816,41.6656,21.8294,0.429753
391,DWT (Legacy),FHD,0.560996,0.987136,38.8821,21.8245,0.429616
391,DWT (Legacy),FHD,0.561996,1.01408,41.1819,21.8206,0.429681
392,DWT (Legacy),FHD,0.562996,1.00147,40.4295,21.8163,0.429796
392,DWT (Legacy),FHD,0.563996,0.989952,39.0718,21.8119,0.429791
392,DWT (Legacy),FHD,0.564996,0.987136,39.704,21.8072,0.429644
392,DWT (Legacy),FHD,0.565996,0.988128,40.0532,21.8025,0.429518
393,DWT (Legacy),FHD,0.566996,0.987424,40.2753,21.7983,0.429567
393,DWT (Legacy),FHD,0.567996,0.985088,40.3295,21.7941,0.429675
393,DWT (Legacy),FHD,0.568996,0.990848,39.0997,21.7897,0.429667
393,DWT (Legacy),FHD,0.569996,0.983872,50.2811,21.7852,0.429526
394,DWT (Legacy),FHD,0.570996,0.988224,38.5047,21.7804,0.429392
394,DWT (Legacy),FHD,0.571996,1.01091,41.4514,21.7761,0.429435
394,DWT (Legacy),FHD,0.572996,0.986016,40.8877,21.772,0.429541
394,DWT (Legacy),FHD,0.573996,0.98976,39.6148,21.7678,0.429523
395,DWT (Legacy),FHD,0.574996,0.987136,39.4842,21.7633,0.429382
395,DWT (Legacy),FHD,0.575996,0.987136,39.284,21.7589,0.429249
395,DWT (Legacy),FHD,0.576996,0.985952,38.945,21.7541,0.429287
395,DWT (Legacy),FHD,0.577996,0.987136,41.3702,21.7501,0.429388
396,DWT (Legacy),FHD,0.578996,0.987552,40.0621,21.7459,0.429366
396,DWT (Legacy),FHD,0.579996,0.98784,45.0872,21.7415,0.429223
396,DWT (Legacy),FHD,0.580996,0.987136,39.3862,21.737,0.42908
396,DWT (Legacy),FHD,0.581996,0.988704,40.2401,21.7325,0.429118
397,DWT (Legacy),FHD,0.582996,0.997376,39.2951,21.7282,0.429216
397,DWT (Legacy),FHD,0.583996,0.991264,42.6124,21.7241,0.429187
397,DWT (Legacy),FHD,0.584996,0.998272,40.9723,21.7198,0.429043
397,DWT (Legacy),FHD,0.585996,0.985696,40.1609,21.7156,0.428899
398,DWT (Legacy),FHD,0.586996,0.988448,43.0198,21.7108,0.428933
398,DWT (Legacy),FHD,0.587996,0.987136,41.7004,21.7064,0.429027
398,DWT (Legacy),FHD,0.588996,0.987264,39.7744,21.7024,0.428997
398,DWT (Legacy),FHD,0.589996,0.997728,40.1183,21.6982,0.428844
399,DWT (Legacy),FHD,0.590996,0.98768,39.3855,21.6941,0.428693
399,DWT (Legacy),FHD,0.591996,0.987392,41.9242,21.6897,0.428706
399,DWT (Legacy),FHD,0.592996,1.00557,43.0175,21.6848,0.428822
399,DWT (Legacy),FHD,0.593996,0.987136,39.1614,21.6808,0.428791
400,DWT (Legacy),FHD,0.594996,0.987616,39.4891,21.6767,0.428637
400,DWT (Legacy),FHD,0.595996,0.987392,48.5514,21.6726,0.428479
400,DWT (Legacy),FHD,0.596996,0.990368,41.356,21.6683,0.428485
400,DWT (Legacy),FHD,0.597996,0.987136,40.109,21.6635,0.428594
401,DWT (Legacy),FHD,0.598996,1.00714,50.0137,21.6593,0.42857
401,DWT (Legacy),FHD,0.599996,0.986976,39.908,21.6553,0.428421
401,DWT (Legacy),FHD,0.600996,0.98992,39.1696,21.6512,0.428262
401,DWT (Legacy),FHD,0.601996,1.59555,40.1136,21.6471,0.428255
402,DWT (Legacy),FHD,0.602996,0.984928,39.767,21.6421,0.428367
402,DWT (Legacy),FHD,0.603996,0.989408,39.8902,21.6379,0.428345
402,DWT (Legacy),FHD,0.604996,0.991264,39.6868,21.6339,0.428197
402,DWT (Legacy),FHD,0.605996,0.989184,40.9834,21.63,0.428045
403,DWT (Legacy),FHD,0.606996,0.987136,38.8037,21.6259,0.42803
403,DWT (Legacy),FHD,0.607996,0.986592,43.5777,21.6213,0.428137
403,DWT (Legacy),FHD,0.608996,0.988928,40.7233,21.6166,0.428122
403,DWT (Legacy),FHD,0.609996,0.987104,39.5807,21.6127,0.427976
404,DWT (Legacy),FHD,0.610996,0.987392,39.7306,21.6088,0.427829
404,DWT (Legacy),FHD,0.611996,1.0016,40.9636,21.6048,0.42781
404,DWT (Legacy),FHD,0.612996,0.987136,40.164,21.6003,0.42791
404,DWT (Legacy),FHD,0.613996,0.99264,39.4448,21.5957,0.427895
405,DWT (Legacy),FHD,0.614996,1.00134,39.512,21.5916,0.427756
405,DWT (Legacy),FHD,0.615996,0.98736,46.7854,21.5878,0.427611
405,DWT (Legacy),FHD,0.616996,0.999424,38.576,21.5839,0.427591
405,DWT (Legacy),FHD,0.617996,0.987104,41.8889,21.5797,0.427694
406,DWT (Legacy),FHD,0.618996,0.989248,39.412,21.5748,0.427677
406,DWT (Legacy),FHD,0.619996,0.986848,42.6055,21.5706,0.427531
406,DWT (Legacy),FHD,0.620996,0.990208,38.9791,21.5669,0.427389
406,DWT (Legacy),FHD,0.621996,0.989184,40.447,21.563,0.427376
407,DWT (Legacy),FHD,0.622996,0.987616,38.8872,21.5589,0.427468
407,DWT (Legacy),FHD,0.623996,0.98752,38.9062,21.5543,0.42747
407,DWT (Legacy),FHD,0.624996,0.988256,42.7527,21.5497,0.42731
407,DWT (Legacy),FHD,0.625996,0.986752,39.5057,21.546,0.427168
408,DWT (Legacy),FHD,0.626996,0.985856,41.0159,21.5423,0.427156
408,DWT (Legacy),FHD,0.627995,0.988736,40.2364,21.5382,0.427246
408,DWT (Legacy),FHD,0.628995,0.997312,39.7631,21.5337,0.427248
408,DWT (Legacy),FHD,0.629995,0.987136,39.6741,21.5292,0.427104
409,DWT (Legacy),FHD,0.630995,0.985312,40.1477,21.5253,0.426947
409,DWT (Legacy),FHD,0.631995,0.985312,40.6983,21.5216,0.426939
409,DWT (Legacy),FHD,0.632995,0.987104,39.7577,21.5176,0.427029
409,DWT (Legacy),FHD,0.633995,1.00966,40.7521,21.5134,0.42704
410,DWT (Legacy),FHD,0.634995,0.985376,39.4351,21.5086,0.426883
410,DWT (Legacy),FHD,0.635995,0.99264,40.7562,21.5047,0.426723
410,DWT (Legacy),FHD,0.636995,0.987616,40.0903,21.501,0.426715
410,DWT (Legacy),FHD,0.637995,0.987136,39.89,21.4971,0.426811
411,DWT (Legacy),FHD,0.638995,1.00589,39.7504,21.493,0.42682
411,DWT (Legacy),FHD,0.639995,0.986976,39.3001,21.4887,0.426694
411,DWT (Legacy),FHD,0.640995,1.56506,39.7004,21.4842,0.426502
411,DWT (Legacy),FHD,0.641995,0.98864,39.1659,21.4806,0.426487
412,DWT (Legacy),FHD,0.642995,0.987168,39.9837,21.4767,0.42658
412,DWT (Legacy),FHD,0.643995,0.987552,43.6266,21.4727,0.426589
412,DWT (Legacy),FHD,0.644995,0.988416,39.31,21.4683,0.426465
412,DWT (Legacy),FHD,0.645995,0.989472,41.0798,21.4641,0.426285
413,DWT (Legacy),FHD,0.646995,0.987872,39.5649,21.4602,0.426255
413,DWT (Legacy),FHD,0.647995,0.98688,39.3099,21.4565,0.426343
413,DWT (Legacy),FHD,0.648995,1.00352,41.7255,21.4525,0.426352
413,DWT (Legacy),FHD,0.649995,0.986912,42.4327,21.4483,0.426227
414,DWT (Legacy),FHD,0.650995,0.987136,39.8412,21.4439,0.426042
414,DWT (Legacy),FHD,0.651995,1.00346,39.2413,21.44,0.426007
414,DWT (Legacy),FHD,0.652995,0.996672,40.6275,21.4363,0.42609
414,DWT (Legacy),FHD,0.653995,1.00557,39.4058,21.4324,0.426095
415,DWT (Legacy),FHD,0.654995,0.987136,39.634,21.4283,0.425971
415,DWT (Legacy),FHD,0.655995,0.985088,40.1432,21.4242,0.425801
415,DWT (Legacy),FHD,0.656995,0.9888,39.6725,21.4199,0.425743
415,DWT (Legacy),FHD,0.657995,1.00307,40.4202,21.4162,0.425823
416,DWT (Legacy),FHD,0.658995,1.00762,40.901,21.4124,0.42582
416,DWT (Legacy),FHD,0.659995,1.00352,39.6086,21.4084,0.425701
416,DWT (Legacy),FHD,0.660995,1.82886,41.4861,21.4043,0.425525
416,DWT (Legacy),FHD,0.661995,0.98656,41.0034,21.4002,0.425473
417,DWT (Legacy),FHD,0.662995,0.985088,41.8908,21.3962,0.425542
417,DWT (Legacy),FHD,0.663995,0.989184,39.5287,21.3925,0.425534
417,DWT (Legacy),FHD,0.664995,0.984928,38.7661,21.3886,0.425411
417,DWT (Legacy),FHD,0.665995,0.985504,45.0976,21.3847,0.425235
418,DWT (Legacy),FHD,0.666995,0.985472,39.6822,21.3803,0.425175
418,DWT (Legacy),FHD,0.667995,0.9872,41.2289,21.3764,0.425239
418,DWT (Legacy),FHD,0.668995,0.989568,41.7236,21.3727,0.42523
418,DWT (Legacy),FHD,0.669995,0.985536,39.7675,21.3689,0.425099
419,DWT (Legacy),FHD,0.670995,0.987456,40.1287,21.365,0.424921
419,DWT (Legacy),FHD,0.671995,0.989184,40.5585,21.361,0.424857
419,DWT (Legacy),FHD,0.672995,0.999296,40.2686,21.3567,0.424923
419,DWT (Legacy),FHD,0.673995,0.986016,39.4074,21.353,0.424908
420,DWT (Legacy),FHD,0.674995,0.98704,38.6654,21.3492,0.424775
420,DWT (Legacy),FHD,0.675995,0.987136,39.5149,21.3455,0.424597
420,DWT (Legacy),FHD,0.676995,0.987136,40.6753,21.3415,0.424521
420,DWT (Legacy),FHD,0.677995,0.985248,39.105,21.3373,0.424585
421,DWT (Legacy),FHD,0.678995,0.989888,41.7932,21.3334,0.424575
421,DWT (Legacy),FHD,0.679995,0.98656,39.3099,21.3297,0.42445
421,DWT (Legacy),FHD,0.680995,0.988384,41.6721,21.326,0.424268
421,DWT (Legacy),FHD,0.681995,0.98576,40.679,21.3224,0.424173
422,DWT (Legacy),FHD,0.682995,0.986656,41.4788,21.3178,0.424248
422,DWT (Legacy),FHD,0.683995,0.989376,39.7285,21.3139,0.424237
422,DWT (Legacy),FHD,0.684995,2.38797,40.2229,21.3103,0.424114
422,DWT (Legacy),FHD,0.685995,0.986368,44.3064,21.3067,0.423942
423,DWT (Legacy),FHD,0.686995,0.98704,44.565,21.303,0.423846
423,DWT (Legacy),FHD,0.687995,0.987776,46.7456,21.2989,0.423903
423,DWT (Legacy),FHD,0.688995,0.988096,40.0493,21.2946,0.423902
423,DWT (Legacy),FHD,0.689995,1.00147,40.5705,21.291,0.423781
424,DWT (Legacy),FHD,0.690995,0.987168,41.0821,21.2875,0.423613
424,DWT (Legacy),FHD,0.691995,0.987008,39.822,21.2839,0.423515
424,DWT (Legacy),FHD,0.692995,0.999904,40.6422,21.2798,0.423568
424,DWT (Legacy),FHD,0.693995,0.989184,39.4488,21.2756,0.423566
425,DWT (Legacy),FHD,0.694995,0.987136,40.4737,21.2718,0.423447
425,DWT (Legacy),FHD,0.695995,1.00163,39.3508,21.2684,0.423286
425,DWT (Legacy),FHD,0.696995,0.987392,40.3702,21.2648,0.423189
425,DWT (Legacy),FHD,0.697995,0.987136,39.9472,21.261,0.423239
426,DWT (Legacy),FHD,0.698995,0.989984,42.6985,21.2566,0.423236
426,DWT (Legacy),FHD,0.699995,0.999616,41.2119,21.2528,0.423118
426,DWT (Legacy),FHD,0.700995,0.987136,39.7642,21.2495,0.422958
426,DWT (Legacy),FHD,0.701995,0.98624,39.4197,21.246,0.422869
427,DWT (Legacy),FHD,0.702995,0.987136,40.2069,21.2422,0.422914
427,DWT (Legacy),FHD,0.703995,1.01107,39.777,21.2382,0.422923
427,DWT (Legacy),FHD,0.704994,0.987776,40.3635,21.2339,0.42279
427,DWT (Legacy),FHD,0.705994,0.987648,39.841,21.2306,0.422636
428,DWT (Legacy),FHD,0.706994,0.987296,39.5715,21.2272,0.422549
428,DWT (Legacy),FHD,0.707994,1.00352,42.0917,21.2236,0.422585
428,DWT (Legacy),FHD,0.708994,0.988608,40.3147,21.2194,0.422599
428,DWT (Legacy),FHD,0.709994,0.987616,40.3856,21.2154,0.422475
429,DWT (Legacy),FHD,0.710994,0.999424,42.2164,21.2119,0.42231
429,DWT (Legacy),FHD,0.711994,0.98688,41.4969,21.2086,0.422231
429,DWT (Legacy),FHD,0.712994,0.986464,38.5667,21.205,0.422266
429,DWT (Legacy),FHD,0.713994,0.987168,40.2796,21.2012,0.422288
430,DWT (Legacy),FHD,0.714994,0.99088,43.2322,21.1968,0.422157
430,DWT (Legacy),FHD,0.715994,0.993184,40.255,21.1933,0.421988
430,DWT (Legacy),FHD,0.716994,1.56442,40.4414,21.19,0.421909
430,DWT (Legacy),FHD,0.717994,0.991232,39.696,21.1866,0.421953
431,DWT (Legacy),FHD,0.718994,0.989792,54.4074,21.1828,0.421978
431,DWT (Legacy),FHD,0.719994,0.987712,43.6517,21.1789,0.421871
431,DWT (Legacy),FHD,0.720994,0.987136,40.7017,21.1748,0.421672
431,DWT (Legacy),FHD,0.721994,0.987584,41.9508,21.1716,0.421593
432,DWT (Legacy),FHD,0.722994,0.986304,40.1277,21.1682,0.421639
432,DWT (Legacy),FHD,0.723994,0.989184,39.7525,21.1646,0.421663
432,DWT (Legacy),FHD,0.724994,0.985152,40.4213,21.1606,0.42156
432,DWT (Legacy),FHD,0.725994,0.987136,39.6563,21.1567,0.421369
433,DWT (Legacy),FHD,0.726994,0.987136,40.2555,21.1533,0.421273
433,DWT (Legacy),FHD,0.727994,1.00378,42.0382,21.15,0.421317
433,DWT (Legacy),FHD,0.728994,0.990816,39.329,21.1464,0.42134
433,DWT (Legacy),FHD,0.729994,0.987264,39.5008,21.1426,0.421242
434,DWT (Legacy),FHD,0.730994,0.98528,40.9025,21.1385,0.421046
434,DWT (Legacy),FHD,0.731994,0.988864,40.7999,21.1351,0.420947
434,DWT (Legacy),FHD,0.732994,0.985376,40.1159,21.1318,0.420987
434,DWT (Legacy),FHD,0.733994,0.990912,40.1811,21.1283,0.421005
435,DWT (Legacy),FHD,0.734994,0.986304,40.2309,21.1246,0.420909
435,DWT (Legacy),FHD,0.735994,1.01171,40.9441,21.1208,0.420728
435,DWT (Legacy),FHD,0.736994,0.98736,41.8246,21.117,0.420608
435,DWT (Legacy),FHD,0.737994,0.985632,39.6978,21.1138,0.420643
436,DWT (Legacy),FHD,0.738994,0.999424,41.0821,21.1104,0.420659
436,DWT (Legacy),FHD,0.739994,0.986368,38.6325,21.1068,0.420565
436,DWT (Legacy),FHD,0.740994,0.986272,41.0655,21.103,0.420385
436,DWT (Legacy),FHD,0.741994,0.988032,39.6773,21.0993,0.420271
437,DWT (Legacy),FHD,0.742994,1.00147,40.6296,21.0959,0.420288
437,DWT (Legacy),FHD,0.743994,0.987648,41.3456,21.0926,0.420299
437,DWT (Legacy),FHD,0.744994,0.984992,40.435,21.089,0.420203
437,DWT (Legacy),FHD,0.745994,0.987136,41.1894,21.0855,0.420032
438,DWT (Legacy),FHD,0.746994,0.989184,39.5133,21.0816,0.419904
438,DWT (Legacy),FHD,0.747994,0.9856,40.2267,21.0781,0.419921
438,DWT (Legacy),FHD,0.748994,0.988512,41.8497,21.0748,0.419929
438,DWT (Legacy),FHD,0.749994,0.988512,39.5266,21.0714,0.419827
439,DWT (Legacy),FHD,0.750994,2.09072,41.3825,21.0678,0.419655
439,DWT (Legacy),FHD,0.751994,0.990528,41.2012,21.0644,0.419534
439,DWT (Legacy),FHD,0.752994,1.00352,42.2895,21.0604,0.419533
439,DWT (Legacy),FHD,0.753994,0.990688,41.7724,21.0572,0.419541
440,DWT (Legacy),FHD,0.754994,0.986464,41.8186,21.0539,0.419436
440,DWT (Legacy),FHD,0.755994,0.988928,40.618,21.0504,0.419266
440,DWT (Legacy),FHD,0.756994,0.98528,39.5813,21.0469,0.41914
440,DWT (Legacy),FHD,0.757994,0.985664,40.81,21.0432,0.41914
441,DWT (Legacy),FHD,0.758994,0.988896,41.5594,21.0397,0.41914
441,DWT (Legacy),FHD,0.759994,0.986624,40.233,21.0365,0.41904
441,DWT (Legacy),FHD,0.760994,1.0056,39.4216,21.0331,0.418868
441,DWT (Legacy),FHD,0.761994,0.989184,41.4256,21.0298,0.418735
442,DWT (Legacy),FHD,0.762994,0.985152,40.7258,21.0259,0.41874
442,DWT (Legacy),FHD,0.763994,0.990496,41.2018,21.0224,0.41874
442,DWT (Legacy),FHD,0.764994,0.98592,39.8329,21.0192,0.418643
442,DWT (Legacy),FHD,0.765994,1.00288,39.8679,21.0159,0.418478
443,DWT (Legacy),FHD,0.766994,0.98688,40.5681,21.0126,0.41834
443,DWT (Legacy),FHD,0.767994,0.986592,40.4575,21.0091,0.41833
443,DWT (Legacy),FHD,0.768994,0.98848,39.3898,21.0052,0.418338
443,DWT (Legacy),FHD,0.769994,0.987648,39.0771,21.002,0.418244
444,DWT (Legacy),FHD,0.770994,0.987136,39.6551,20.9988,0.418086
444,DWT (Legacy),FHD,0.771994,0.986848,39.4882,20.9956,0.417949
444,DWT (Legacy),FHD,0.772994,0.987264,40.225,20.9921,0.417935
444,DWT (Legacy),FHD,0.773994,1.50483,41.3433,20.9883,0.417936
445,DWT (Legacy),FHD,0.774994,0.98912,40.5591,20.985,0.417845
445,DWT (Legacy),FHD,0.775994,0.987168,42.6322,20.9819,0.417693
445,DWT (Legacy),FHD,0.776994,0.987104,44.8395,20.9787,0.417556
445,DWT (Legacy),FHD,0.777994,0.985568,40.3494,20.9752,0.417542
446,DWT (Legacy),FHD,0.778994,0.991232,41.0911,20.9714,0.41754
446,DWT (Legacy),FHD,0.779994,0.985088,38.8805,20.968,0.41745
446,DWT (Legacy),FHD,0.780994,0.98608,39.3485,20.965,0.417302
446,DWT (Legacy),FHD,0.781994,0.98736,41.9819,20.9619,0.417171
447,DWT (Legacy),FHD,0.782993,0.98688,40.1941,20.9586,0.417149
447,DWT (Legacy),FHD,0.783993,0.98816,40.022,20.955,0.417153
447,DWT (Legacy),FHD,0.784993,2.40026,40.5251,20.9513,0.417056
447,DWT (Legacy),FHD,0.785993,0.987712,40.2389,20.9482,0.416909
448,DWT (Legacy),FHD,0.786993,0.989184,39.0066,20.9453,0.416783
448,DWT (Legacy),FHD,0.787993,1.58947,41.9624,20.9421,0.416755
448,DWT (Legacy),FHD,0.788993,0.98752,43.1924,20.9384,0.416767
448,DWT (Legacy),FHD,0.789993,0.987136,41.1811,20.9348,0.416673
449,DWT (Legacy),FHD,0.790993,0.986784,39.6021,20.9316,0.41652
449,DWT (Legacy),FHD,0.791993,0.986688,38.8939,20.9288,0.416401
449,DWT (Legacy),FHD,0.792993,0.987296,42.1568,20.9256,0.416374
449,DWT (Legacy),FHD,0.793993,0.993792,42.1179,20.9222,0.416391
450,DWT (Legacy),FHD,0.794993,1.00352,39.5091,20.9183,0.416285
450,DWT (Legacy),FHD,0.795993,0.987936,42.9223,20.9151,0.416133
450,DWT (Legacy),FHD,0.796993,0.987552,40.2535,20.9123,0.416018
450,DWT (Legacy),FHD,0.797993,1.00317,41.0841,20.9093,0.415998
451,DWT (Legacy),FHD,0.798993,0.991616,40.8893,20.906,0.416013
451,DWT (Legacy),FHD,0.799993,2.39206,44.0079,20.9024,0.415926
451,DWT (Legacy),FHD,0.800993,0.988096,42.1738,20.8988,0.415753
451,DWT (Legacy),FHD,0.801993,0.989024,41.0453,20.896,0.41564
452,DWT (Legacy),FHD,0.802993,0.987264,39.0251,20.8931,0.415622
452,DWT (Legacy),FHD,0.803993,0.987392,40.2568,20.8898,0.415637
452,DWT (Legacy),FHD,0.804993,0.98688,41.3255,20.8862,0.415558
452,DWT (Legacy),FHD,0.805993,0.997376,40.1774,20.8828,0.415393
453,DWT (Legacy),FHD,0.806993,0.987168,43.2304,20.8798,0.415264
453,DWT (Legacy),FHD,0.807993,1.81949,41.6191,20.877,0.415249
453,DWT (Legacy),FHD,0.808993,0.989152,40.7522,20.8738,0.415264
453,DWT (Legacy),FHD,0.809993,0.986368,39.9056,20.8705,0.415194
454,DWT (Legacy),FHD,0.810993,0.99648,40.2461,20.8667,0.415017
454,DWT (Legacy),FHD,0.811993,0.985088,47.4604,20.8637,0.414887
454,DWT (Legacy),FHD,0.812993,0.997248,39.2639,20.861,0.414869
454,DWT (Legacy),FHD,0.813993,0.988416,42.2987,20.8579,0.414885
455,DWT (Legacy),FHD,0.814993,0.985088,39.9372,20.8546,0.414813
455,DWT (Legacy),FHD,0.815993,0.987776,56.751,20.8512,0.414656
455,DWT (Legacy),FHD,0.816993,0.987712,47.4207,20.8478,0.414504
455,DWT (Legacy),FHD,0.817993,0.990592,45.9068,20.8451,0.414482
456,DWT (Legacy),FHD,0.818993,0.989184,102.508,20.8421,0.414497
456,DWT (Legacy),FHD,0.819993,1.00406,41.4404,20.8388,0.414426
456,DWT (Legacy),FHD,0.820993,0.988128,45.5663,20.8354,0.414272
456,DWT (Legacy),FHD,0.821993,0.9872,45.5011,20.8322,0.414126
457,DWT (Legacy),FHD,0.822993,0.987168,76.2126,20.8293,0.414089
457,DWT (Legacy),FHD,0.823993,0.988064,61.4019,20.8264,0.414098
457,DWT (Legacy),FHD,0.824993,0.987136,53.2483,20.8232,0.414025
457,DWT (Legacy),FHD,0.825993,0.989184,44.7175,20.8199,0.413875
458,DWT (Legacy),FHD,0.826993,0.987008,43.1515,20.8169,0.413742
458,DWT (Legacy),FHD,0.827993,1.82234,42.3258,20.8136,0.413681
458,DWT (Legacy),FHD,0.828993,0.997376,44.1643,20.8108,0.413686
458,DWT (Legacy),FHD,0.829993,0.985088,40.2666,20.8077,0.413609
459,DWT (Legacy),FHD,0.830993,0.989184,42.0438,20.8045,0.413464
459,DWT (Legacy),FHD,0.831993,1.56518,42.6515,20.8015,0.413325
459,DWT (Legacy),FHD,0.832993,1.00762,40.1204,20.7983,0.41327
459,DWT (Legacy),FHD,0.833993,1.00147,39.9516,20.7953,0.413266
460,DWT (Legacy),FHD,0.834993,0.986048,40.3548,20.7923,0.413187
460,DWT (Legacy),FHD,0.835993,0.985088,38.5858,20.7892,0.413045
460,DWT (Legacy),FHD,0.836993,0.986624,39.6718,20.7862,0.412902
460,DWT (Legacy),FHD,0.837993,0.987136,40.2975,20.783,0.412841
461,DWT (Legacy),FHD,0.838993,0.991712,46.4105,20.7799,0.412832
461,DWT (Legacy),FHD,0.839993,0.992704,42.1689,20.7771,0.41276
461,DWT (Legacy),FHD,0.840993,0.986048,39.459,20.774,0.412615
461,DWT (Legacy),FHD,0.841993,0.986688,40.1696,20.7711,0.412467
462,DWT (Legacy),FHD,0.842993,1.00298,49.1447,20.768,0.412409
