Iteration,Algorithm,Resolution,Alpha,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM,BER
72,SVD (Implicit),FHD,0.400,0.264,1.645,47.593,0.987,0.000
73,SVD (Implicit),FHD,0.450,0.252,1.695,46.670,0.984,0.000
74,SVD (Implicit),FHD,0.500,0.264,1.595,45.816,0.981,0.000
75,SVD (Implicit),FHD,0.550,0.263,1.642,45.040,0.977,0.000
76,SVD (Implicit),FHD,0.600,0.275,1.663,44.343,0.973,0.000
77,SVD (Implicit),FHD,0.650,0.262,1.643,43.687,0.969,0.000
78,SVD (Implicit),FHD,0.700,0.271,1.725,43.071,0.964,0.000
79,SVD (Implicit),FHD,0.750,0.257,1.616,42.492,0.960,0.000
80,SVD (Implicit),FHD,0.800,0.258,1.564,41.961,0.955,0.000
81,SVD (Implicit),FHD,0.850,0.253,1.659,41.451,0.949,0.000
82,SVD (Implicit),FHD,0.900,0.264,1.711,40.971,0.944,0.000
83,SVD (Implicit),FHD,0.950,0.253,1.658,40.513,0.938,0.000
84,SVD (Implicit),FHD,1.000,0.270,1.400,40.083,0.932,0.000
85,DFT,FHD,0.000,14.082,15.106,73.862,1.000,0.501
86,DFT,FHD,0.050,14.004,14.894,60.109,1.000,0.501
87,DFT,FHD,0.100,14.076,15.434,56.744,0.999,0.501
88,DFT,FHD,0.150,14.003,15.267,54.528,0.999,0.501
89,DFT,FHD,0.200,14.017,15.310,52.783,0.999,0.501
90,DFT,FHD,0.250,14.127,15.337,51.311,0.999,0.502
91,DFT,FHD,0.300,13.832,15.242,50.042,0.998,0.502
92,DFT,FHD,0.350,14.052,15.288,48.920,0.998,0.501
93,DFT,FHD,0.400,14.071,15.508,47.920,0.998,0.501
94,DFT,FHD,0.450,14.061,15.595,47.017,0.997,0.501
95,DFT,FHD,0.500,14.096,15.513,46.193,0.997,0.501
96,DFT,FHD,0.550,14.042,15.624,45.438,0.997,0.501
97,DFT,FHD,0.600,13.995,15.525,44.742,0.996,0.502
98,DFT,FHD,0.650,14.120,15.436,44.098,0.996,0.502
99,DFT,FHD,0.700,14.037,15.378,43.495,0.995,0.502
