Iteration,Algorithm,Resolution,ALPHA,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
21,DCT (Legacy),FHD,0.083,1.08134,173.789,18.8282,0.204045
22,DCT (Legacy),FHD,0.084,1.08,174.96,18.7459,0.201367
22,DCT (Legacy),FHD,0.085,1.11024,172.543,18.6648,0.198752
22,DCT (Legacy),FHD,0.086,1.07971,170.402,18.5851,0.196204
22,DCT (Legacy),FHD,0.087,1.08429,176.813,18.5066,0.193708
23,DCT (Legacy),FHD,0.088,1.07949,170.458,18.4295,0.191274
23,DCT (Legacy),FHD,0.089,1.08134,174.416,18.3535,0.188886
23,DCT (Legacy),FHD,0.09,1.08157,188.452,18.2788,0.186549
23,DCT (Legacy),FHD,0.091,1.0801,180.199,18.2052,0.184273
24,DCT (Legacy),FHD,0.092,1.08134,186.962,18.133,0.182048
24,DCT (Legacy),FHD,0.093,1.07987,170.423,18.0617,0.179878
24,DCT (Legacy),FHD,0.094,1.09354,171.543,17.9914,0.177744
24,DCT (Legacy),FHD,0.095,1.0793,171.674,17.9226,0.175663
25,DCT (Legacy),FHD,0.096,1.08701,170.128,17.8547,0.173633
25,DCT (Legacy),FHD,0.097,1.56429,171.541,17.788,0.171645
25,DCT (Legacy),FHD,0.098,1.0793,194.454,17.7221,0.169684
25,DCT (Legacy),FHD,0.099,1.08176,207.31,17.6575,0.16777
26,DCT (Legacy),FHD,0.1,1.08355,171.782,17.5937,0.16589
26,DCT (Legacy),FHD,0.101,1.08157,170.55,17.5308,0.164049
26,DCT (Legacy),FHD,0.102,1.07978,175.328,17.4689,0.162248
26,DCT (Legacy),FHD,0.103,1.0817,177.27,17.408,0.160492
27,DCT (Legacy),FHD,0.104,1.08339,173.273,17.3478,0.158757
27,DCT (Legacy),FHD,0.105,1.08,179.05,17.2888,0.157069
27,DCT (Legacy),FHD,0.106,1.08339,178.606,17.2305,0.15541
27,DCT (Legacy),FHD,0.107,1.07936,176.021,17.173,0.153783
28,DCT (Legacy),FHD,0.108,1.08128,177.27,17.1163,0.152179
28,DCT (Legacy),FHD,0.109,1.08374,171.715,17.0604,0.150615
28,DCT (Legacy),FHD,0.11,1.08272,174.039,17.0055,0.149073
28,DCT (Legacy),FHD,0.111,1.08134,176.911,16.9511,0.147562
29,DCT (Legacy),FHD,0.112,1.10835,173.981,16.8976,0.146075
29,DCT (Legacy),FHD,0.113,1.10198,174.82,16.8448,0.144622
29,DCT (Legacy),FHD,0.114,1.08096,178.044,16.7929,0.143199
29,DCT (Legacy),FHD,0.115,1.07978,193.608,16.7417,0.141796
30,DCT (Legacy),FHD,0.116,1.07926,168.533,16.691,0.140425
30,DCT (Legacy),FHD,0.117,1.08134,171.32,16.6412,0.139076
30,DCT (Legacy),FHD,0.118,1.0793,173.277,16.5922,0.137753
30,DCT (Legacy),FHD,0.119,1.08138,175.325,16.5437,0.136448
31,DCT (Legacy),FHD,0.12,1.08141,167.886,16.496,0.135172
31,DCT (Legacy),FHD,0.121,1.08054,171.645,16.449,0.133916
31,DCT (Legacy),FHD,0.122,1.0793,175.451,16.4024,0.132683
31,DCT (Legacy),FHD,0.123,1.07968,176.502,16.3567,0.131473
32,DCT (Legacy),FHD,0.124,1.08192,169.212,16.3115,0.130285
32,DCT (Legacy),FHD,0.125,1.07994,166.666,16.267,0.129113
32,DCT (Legacy),FHD,0.126,1.09635,169.507,16.223,0.127976
32,DCT (Legacy),FHD,0.127,1.08358,172.54,16.1796,0.126845
33,DCT (Legacy),FHD,0.128,1.07939,164.139,16.137,0.125739
33,DCT (Legacy),FHD,0.129,1.06496,173.36,16.0948,0.124654
33,DCT (Legacy),FHD,0.13,1.05392,162.98,16.053,0.123585
33,DCT (Legacy),FHD,0.131,1.05315,176.028,16.012,0.12254
34,DCT (Legacy),FHD,0.132,1.06291,166.314,15.9716,0.121514
34,DCT (Legacy),FHD,0.133,1.06394,169.095,15.9316,0.120495
34,DCT (Legacy),FHD,0.134,1.06022,171.49,15.8922,0.119503
34,DCT (Legacy),FHD,0.135,1.08746,168.691,15.8533,0.118527
35,DCT (Legacy),FHD,0.136,1.06406,164.01,15.815,0.117564
35,DCT (Legacy),FHD,0.137,1.06394,163.899,15.7772,0.116619
35,DCT (Legacy),FHD,0.138,1.05466,172.919,15.7399,0.115694
35,DCT (Legacy),FHD,0.139,1.06285,166.963,15.7031,0.114774
36,DCT (Legacy),FHD,0.14,1.05446,171.132,15.6668,0.113874
36,DCT (Legacy),FHD,0.141,1.65267,166.606,15.6311,0.112986
36,DCT (Legacy),FHD,0.142,1.05811,165.417,15.5956,0.112115
36,DCT (Legacy),FHD,0.143,1.05462,180.912,15.5607,0.111257
37,DCT (Legacy),FHD,0.144,1.06269,163.374,15.5265,0.110415
37,DCT (Legacy),FHD,0.145,1.06144,161.274,15.4925,0.109585
37,DCT (Legacy),FHD,0.146,1.06451,176.026,15.459,0.108768
37,DCT (Legacy),FHD,0.147,1.06189,186.598,15.4261,0.107964
38,DCT (Legacy),FHD,0.148,1.06282,170.432,15.3934,0.107172
38,DCT (Legacy),FHD,0.149,1.06371,164.554,15.3613,0.106388
38,DCT (Legacy),FHD,0.15,1.0631,167.535,15.3294,0.105621
38,DCT (Legacy),FHD,0.151,1.0631,168.212,15.2982,0.104872
39,DCT (Legacy),FHD,0.152,1.06272,159.388,15.2672,0.104128
39,DCT (Legacy),FHD,0.153,1.06413,166.141,15.2367,0.103401
39,DCT (Legacy),FHD,0.154,1.0703,174.822,15.2065,0.102689
39,DCT (Legacy),FHD,0.155,1.06291,187.789,15.1769,0.101986
40,DCT (Legacy),FHD,0.156,1.63226,172.03,15.1475,0.101291
40,DCT (Legacy),FHD,0.157,1.06173,162.708,15.1185,0.100605
40,DCT (Legacy),FHD,0.158,1.06112,175.779,15.0899,0.099929
40,DCT (Legacy),FHD,0.159,1.06413,172.741,15.0617,0.0992683
41,DCT (Legacy),FHD,0.16,1.07091,163.625,15.0338,0.098617
41,DCT (Legacy),FHD,0.161,1.05526,198.196,15.0061,0.0979675
41,DCT (Legacy),FHD,0.162,1.08954,187.62,14.979,0.0973312
