Iteration,Algorithm,Resolution,ALPHA,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
459,DWT (Legacy),FHD,0.830993,0.968064,277.865,67.8269,0.999931
459,DWT (Legacy),FHD,0.831993,0.966656,240.584,67.8195,0.999931
459,DWT (Legacy),FHD,0.832993,1.48042,263.258,67.8133,0.999931
459,DWT (Legacy),FHD,0.833993,0.96576,276.14,67.8064,0.999931
460,DWT (Legacy),FHD,0.834993,0.966656,270.903,67.7978,0.999931
460,DWT (Legacy),FHD,0.835993,0.971456,244.272,67.7901,0.999931
460,DWT (Legacy),FHD,0.836993,1.45536,233.262,67.7833,0.999931
460,DWT (Legacy),FHD,0.837993,0.968832,290.765,67.7756,0.999931
461,DWT (Legacy),FHD,0.838993,0.97264,287.305,67.7671,0.99993
461,DWT (Legacy),FHD,0.839993,0.970976,269.788,67.7595,0.99993
461,DWT (Legacy),FHD,0.840993,0.96672,248.392,67.7515,0.99993
461,DWT (Legacy),FHD,0.841993,0.964192,270.97,67.7439,0.99993
462,DWT (Legacy),FHD,0.842993,0.965216,253.044,67.7346,0.99993
462,DWT (Legacy),FHD,0.843993,0.970304,264.487,67.7274,0.99993
462,DWT (Legacy),FHD,0.844993,0.970752,244.992,67.7185,0.99993
462,DWT (Legacy),FHD,0.845993,0.964576,242.395,67.7129,0.99993
463,DWT (Legacy),FHD,0.846993,1.48358,281.081,67.7049,0.999929
463,DWT (Legacy),FHD,0.847993,0.987104,275.996,67.6983,0.999929
463,DWT (Legacy),FHD,0.848993,0.970432,269.457,67.6898,0.999929
463,DWT (Legacy),FHD,0.849993,0.974432,284.501,67.6834,0.999929
464,DWT (Legacy),FHD,0.850993,0.970048,258.757,67.6765,0.999929
464,DWT (Legacy),FHD,0.851993,0.9728,223.159,67.6678,0.999929
464,DWT (Legacy),FHD,0.852993,0.970912,285.887,67.6603,0.999929
464,DWT (Legacy),FHD,0.853993,0.965312,277.688,67.6525,0.999929
465,DWT (Legacy),FHD,0.854993,0.970752,281.191,67.6455,0.999928
465,DWT (Legacy),FHD,0.855993,0.9936,290.023,67.6372,0.999928
465,DWT (Legacy),FHD,0.856993,0.965088,301.787,67.6288,0.999928
465,DWT (Legacy),FHD,0.857993,0.966816,245.725,67.6203,0.999928
466,DWT (Legacy),FHD,0.858993,1.54829,285.979,67.6132,0.999928
466,DWT (Legacy),FHD,0.859993,0.984096,256.746,67.605,0.999928
466,DWT (Legacy),FHD,0.860992,0.96656,281.787,67.5981,0.999928
466,DWT (Legacy),FHD,0.861992,0.970912,261.742,67.5914,0.999928
467,DWT (Legacy),FHD,0.862992,0.971136,264.2,67.5836,0.999927
467,DWT (Legacy),FHD,0.863992,2.00704,269.885,67.5766,0.999927
467,DWT (Legacy),FHD,0.864992,0.966656,219.718,67.5694,0.999927
467,DWT (Legacy),FHD,0.865992,0.985728,228.732,67.5617,0.999927
468,DWT (Legacy),FHD,0.866992,0.965024,258.963,67.5559,0.999927
468,DWT (Legacy),FHD,0.867992,0.96848,241.671,67.5486,0.999927
468,DWT (Legacy),FHD,0.868992,0.963264,260.064,67.542,0.999927
468,DWT (Legacy),FHD,0.869992,0.969376,294.59,67.5347,0.999927
469,DWT (Legacy),FHD,0.870992,0.964608,260.703,67.5265,0.999926
469,DWT (Legacy),FHD,0.871992,2.37158,296.137,67.5191,0.999926
469,DWT (Legacy),FHD,0.872992,0.98448,235.417,67.5138,0.999926
469,DWT (Legacy),FHD,0.873992,0.981728,260.35,67.5073,0.999926
470,DWT (Legacy),FHD,0.874992,1.79546,239.459,67.4992,0.999926
470,DWT (Legacy),FHD,0.875992,1.47693,241.08,67.4911,0.999926
470,DWT (Legacy),FHD,0.876992,0.96512,284.277,67.4833,0.999926
470,DWT (Legacy),FHD,0.877992,0.9728,258.138,67.4769,0.999926
471,DWT (Legacy),FHD,0.878992,0.969536,261.078,67.4706,0.999925
471,DWT (Legacy),FHD,0.879992,0.970208,261.975,67.4637,0.999925
471,DWT (Legacy),FHD,0.880992,0.987136,244.93,67.4582,0.999925
471,DWT (Legacy),FHD,0.881992,1.54326,290.569,67.4502,0.999925
472,DWT (Legacy),FHD,0.882992,0.966624,262.669,67.4448,0.999925
472,DWT (Legacy),FHD,0.883992,0.968704,256.082,67.4378,0.999925
472,DWT (Legacy),FHD,0.884992,0.967968,256.789,67.4301,0.999925
472,DWT (Legacy),FHD,0.885992,1.71542,266.039,67.4225,0.999925
473,DWT (Legacy),FHD,0.886992,0.978944,248.888,67.4167,0.999924
473,DWT (Legacy),FHD,0.887992,0.967328,249.064,67.4083,0.999924
473,DWT (Legacy),FHD,0.888992,0.98304,265.468,67.3991,0.999924
473,DWT (Legacy),FHD,0.889992,1.53379,276.356,67.3916,0.999924
474,DWT (Legacy),FHD,0.890992,0.966656,259.29,67.3842,0.999924
474,DWT (Legacy),FHD,0.891992,0.96464,266.509,67.3778,0.999924
474,DWT (Legacy),FHD,0.892992,0.96544,263.531,67.3707,0.999924
474,DWT (Legacy),FHD,0.893992,2.3711,241.013,67.3628,0.999924
475,DWT (Legacy),FHD,0.894992,0.964608,247.801,67.3573,0.999923
475,DWT (Legacy),FHD,0.895992,0.965312,219.382,67.3505,0.999923
475,DWT (Legacy),FHD,0.896992,0.966208,242.458,67.345,0.999923
475,DWT (Legacy),FHD,0.897992,0.968704,214.012,67.3368,0.999923
476,DWT (Legacy),FHD,0.898992,0.966656,221.346,67.3275,0.999923
476,DWT (Legacy),FHD,0.899992,0.9728,233.384,67.3189,0.999923
476,DWT (Legacy),FHD,0.900992,0.966272,230.398,67.3118,0.999923
476,DWT (Legacy),FHD,0.901992,0.968704,219.391,67.303,0.999922
477,DWT (Legacy),FHD,0.902992,0.966208,224.309,67.2953,0.999922
477,DWT (Legacy),FHD,0.903992,0.970976,252.876,67.2892,0.999922
477,DWT (Legacy),FHD,0.904992,0.970752,259.849,67.2819,0.999922
477,DWT (Legacy),FHD,0.905992,0.964448,253.822,67.2739,0.999922
478,DWT (Legacy),FHD,0.906992,0.970336,215.286,67.2681,0.999922
478,DWT (Legacy),FHD,0.907992,0.969856,250.55,67.2622,0.999922
478,DWT (Legacy),FHD,0.908992,0.966592,240.248,67.2559,0.999922
478,DWT (Legacy),FHD,0.909992,0.967136,262.629,67.2495,0.999922
479,DWT (Legacy),FHD,0.910992,0.974848,236.753,67.2422,0.999921
479,DWT (Legacy),FHD,0.911992,0.965888,262.397,67.235,0.999921
479,DWT (Legacy),FHD,0.912992,0.968288,264.319,67.2267,0.999921
479,DWT (Legacy),FHD,0.913992,0.966464,229.378,67.219,0.999921
480,DWT (Legacy),FHD,0.914992,0.964704,250.869,67.2112,0.999921
480,DWT (Legacy),FHD,0.915992,0.972,236.403,67.2051,0.999921
480,DWT (Legacy),FHD,0.916992,1.54826,232.435,67.1983,0.999921
480,DWT (Legacy),FHD,0.917992,1.45878,255.756,67.1919,0.99992
481,DWT (Legacy),FHD,0.918992,0.964608,251.955,67.1843,0.99992
481,DWT (Legacy),FHD,0.919992,0.967328,276.16,67.1772,0.99992
481,DWT (Legacy),FHD,0.920992,0.96608,266.285,67.17,0.99992
481,DWT (Legacy),FHD,0.921992,0.967264,255.422,67.1625,0.99992
482,DWT (Legacy),FHD,0.922992,0.968256,270.664,67.1548,0.99992
482,DWT (Legacy),FHD,0.923992,0.964608,243.348,67.1474,0.99992
482,DWT (Legacy),FHD,0.924992,0.976128,253.419,67.1399,0.999919
482,DWT (Legacy),FHD,0.925992,0.96672,255.078,67.134,0.999919
483,DWT (Legacy),FHD,0.926992,0.968256,260.009,67.1267,0.999919
483,DWT (Legacy),FHD,0.927992,0.968832,239.722,67.1203,0.999919
483,DWT (Legacy),FHD,0.928992,0.967072,225.056,67.1123,0.999919
483,DWT (Legacy),FHD,0.929992,0.966656,237.82,67.1058,0.999919
484,DWT (Legacy),FHD,0.930992,0.96432,251.601,67.0987,0.999919
484,DWT (Legacy),FHD,0.931992,0.964192,229.183,67.0905,0.999919
484,DWT (Legacy),FHD,0.932992,0.970752,228.375,67.0824,0.999918
484,DWT (Legacy),FHD,0.933992,0.983264,220.385,67.0749,0.999918
485,DWT (Legacy),FHD,0.934992,0.9664,251.312,67.0684,0.999918
485,DWT (Legacy),FHD,0.935992,1.47046,247.8,67.0613,0.999918
485,DWT (Legacy),FHD,0.936992,0.9696,237.679,67.053,0.999918
485,DWT (Legacy),FHD,0.937991,0.985088,262.712,67.045,0.999918
486,DWT (Legacy),FHD,0.938991,0.965088,246.4,67.0371,0.999917
486,DWT (Legacy),FHD,0.939991,0.962976,257.048,67.0292,0.999917
486,DWT (Legacy),FHD,0.940991,0.969376,241.374,67.0101,0.999917
486,DWT (Legacy),FHD,0.941991,0.964608,240.936,66.8542,0.999914
487,DWT (Legacy),FHD,0.942991,0.991232,231.15,66.8474,0.999914
487,DWT (Legacy),FHD,0.943991,0.966656,239.536,66.8417,0.999914
487,DWT (Legacy),FHD,0.944991,0.971936,258.051,66.8356,0.999914
487,DWT (Legacy),FHD,0.945991,0.968384,266.902,66.8285,0.999914
488,DWT (Legacy),FHD,0.946991,0.96912,225.184,66.8214,0.999913
488,DWT (Legacy),FHD,0.947991,0.970752,241.156,66.8149,0.999913
488,DWT (Legacy),FHD,0.948991,0.966304,232.594,66.8076,0.999913
488,DWT (Legacy),FHD,0.949991,0.968864,289.855,66.8006,0.999913
489,DWT (Legacy),FHD,0.950991,0.965984,286.618,66.7933,0.999913
489,DWT (Legacy),FHD,0.951991,2.36816,222.841,66.7877,0.999913
489,DWT (Legacy),FHD,0.952991,0.964928,266.549,66.7817,0.999913
489,DWT (Legacy),FHD,0.953991,0.99696,249.304,66.7749,0.999912
490,DWT (Legacy),FHD,0.954991,0.966816,250.617,66.7691,0.999912
490,DWT (Legacy),FHD,0.955991,0.971232,297.133,66.7627,0.999912
490,DWT (Legacy),FHD,0.956991,0.970944,282.809,66.7554,0.999912
490,DWT (Legacy),FHD,0.957991,0.96672,275.38,66.7505,0.999912
491,DWT (Legacy),FHD,0.958991,0.970624,244.483,66.7454,0.999912
491,DWT (Legacy),FHD,0.959991,0.967776,235.491,66.7385,0.999912
491,DWT (Legacy),FHD,0.960991,0.964,238.108,66.7315,0.999912
491,DWT (Legacy),FHD,0.961991,0.96848,236.472,66.725,0.999911
492,DWT (Legacy),FHD,0.962991,0.966848,258.436,66.7181,0.999911
492,DWT (Legacy),FHD,0.963991,0.961344,231.208,66.7119,0.999911
492,DWT (Legacy),FHD,0.964991,0.980768,243.804,66.7051,0.999911
492,DWT (Legacy),FHD,0.965991,0.962624,269.977,66.6986,0.999911
493,DWT (Legacy),FHD,0.966991,0.964864,246.144,66.6926,0.999911
493,DWT (Legacy),FHD,0.967991,0.969152,266.315,66.6848,0.999911
493,DWT (Legacy),FHD,0.968991,0.964608,245.334,66.6785,0.99991
493,DWT (Legacy),FHD,0.969991,0.971712,252.67,66.6718,0.99991
494,DWT (Legacy),FHD,0.970991,0.972928,222.106,66.6652,0.99991
494,DWT (Legacy),FHD,0.971991,0.980992,256.265,66.6572,0.99991
494,DWT (Legacy),FHD,0.972991,0.96832,257.841,66.6518,0.99991
494,DWT (Legacy),FHD,0.973991,0.966656,230.686,66.6459,0.99991
495,DWT (Legacy),FHD,0.974991,0.964992,254.87,66.6411,0.99991
495,DWT (Legacy),FHD,0.975991,0.96656,254.776,66.6336,0.999909
495,DWT (Legacy),FHD,0.976991,2.00326,233.306,66.6265,0.999909
495,DWT (Legacy),FHD,0.977991,0.96944,270.974,66.6191,0.999909
496,DWT (Legacy),FHD,0.978991,0.98432,267.542,66.6119,0.999909
496,DWT (Legacy),FHD,0.979991,0.968704,253.126,66.6058,0.999909
496,DWT (Legacy),FHD,0.980991,0.96864,272.674,66.5994,0.999909
496,DWT (Legacy),FHD,0.981991,0.985088,262.699,66.5927,0.999909
497,DWT (Legacy),FHD,0.982991,0.968896,252.943,66.5856,0.999908
497,DWT (Legacy),FHD,0.983991,0.98896,283.531,66.5789,0.999908
497,DWT (Legacy),FHD,0.984991,0.96608,332.364,66.5721,0.999908
497,DWT (Legacy),FHD,0.985991,0.96288,293.158,66.5652,0.999908
498,DWT (Legacy),FHD,0.986991,0.964704,234.399,66.5581,0.999908
498,DWT (Legacy),FHD,0.987991,0.971808,209.587,66.551,0.999908
498,DWT (Legacy),FHD,0.988991,0.969024,227.981,66.5426,0.999908
498,DWT (Legacy),FHD,0.989991,0.972512,234.416,66.5356,0.999907
499,DWT (Legacy),FHD,0.990991,0.963968,249.226,66.5295,0.999907
499,DWT (Legacy),FHD,0.991991,0.965888,225.462,66.5234,0.999907
499,DWT (Legacy),FHD,0.992991,0.972896,258.197,66.5172,0.999907
499,DWT (Legacy),FHD,0.993991,0.989152,262.291,66.5106,0.999907
500,DWT (Legacy),FHD,0.994991,0.968704,255.986,66.5028,0.999907
500,DWT (Legacy),FHD,0.995991,0.964608,217.419,66.496,0.999907
500,DWT (Legacy),FHD,0.996991,0.966272,230.41,66.4893,0.999906
500,DWT (Legacy),FHD,0.997991,0.966656,287.575,66.4833,0.999906
501,DWT (Legacy),FHD,0.998991,0.970752,255.634,66.4772,0.999906
501,DWT (Legacy),FHD,0.999991,1.45126,261.938,66.4682,0.999906
501,SVD (Block),FHD,0,1.34355,256.957,70.7175,0.999965
501,SVD (Block),FHD,0.001,1.32966,249.817,58.3159,0.999329
502,SVD (Block),FHD,0.002,1.3241,252.419,55.3133,0.998466
502,SVD (Block),FHD,0.003,1.3353,256.37,53.5563,0.997431
502,SVD (Block),FHD,0.004,2.51718,242.645,52.3231,0.996239
502,SVD (Block),FHD,0.005,1.32096,255.121,51.0036,0.994608
503,SVD (Block),FHD,0.006,1.32077,265.544,49.705,0.992545
503,SVD (Block),FHD,0.007,1.32915,261.49,48.5661,0.99015
503,SVD (Block),FHD,0.008,1.33053,237.518,47.5917,0.987497
503,SVD (Block),FHD,0.009,1.32643,263.47,46.669,0.984448
504,SVD (Block),FHD,0.01,1.33331,273.837,45.8142,0.981043
504,SVD (Block),FHD,0.011,1.3088,285.624,45.0374,0.977348
504,SVD (Block),FHD,0.012,1.80224,276.691,44.3398,0.97341
504,SVD (Block),FHD,0.013,1.34163,275.571,43.6837,0.969161
505,SVD (Block),FHD,0.014,1.3497,245.473,43.0692,0.964631
505,SVD (Block),FHD,0.015,1.35987,241.65,42.4919,0.959801
505,SVD (Block),FHD,0.016,1.33923,224.496,41.9573,0.95479
505,SVD (Block),FHD,0.017,1.31802,258.053,41.4474,0.949508
506,SVD (Block),FHD,0.018,1.33734,234.297,40.9683,0.944058
506,SVD (Block),FHD,0.019,1.33322,238.54,40.511,0.938325
506,SVD (Block),FHD,0.02,1.32531,230.851,40.0794,0.93244
506,SVD (Block),FHD,0.021,1.32506,240.515,39.666,0.926367
507,SVD (Block),FHD,0.022,1.34726,262.107,39.2731,0.920117
507,SVD (Block),FHD,0.023,1.32502,248.743,38.896,0.913741
507,SVD (Block),FHD,0.024,1.3375,263.846,38.5366,0.907209
507,SVD (Block),FHD,0.025,1.31005,267.671,38.1899,0.900559
508,SVD (Block),FHD,0.026,1.28422,242.306,37.8556,0.893743
508,SVD (Block),FHD,0.027,1.30854,228.674,37.535,0.886843
508,SVD (Block),FHD,0.028,1.31574,250.262,37.2268,0.879882
508,SVD (Block),FHD,0.029,1.35571,263.341,36.9282,0.872839
509,SVD (Block),FHD,0.03,1.88925,267.637,36.6407,0.865702
509,SVD (Block),FHD,0.031,1.3271,236.888,36.3625,0.858534
509,SVD (Block),FHD,0.032,1.32176,259.763,36.0927,0.851305
509,SVD (Block),FHD,0.033,1.30662,247.623,35.8299,0.84399
510,SVD (Block),FHD,0.034,1.30022,243.211,35.576,0.836663
510,SVD (Block),FHD,0.035,1.30662,250.786,35.3301,0.82936
510,SVD (Block),FHD,0.036,1.89171,241.314,35.0905,0.822004
510,SVD (Block),FHD,0.037,1.3271,261.034,34.8579,0.814638
511,SVD (Block),FHD,0.038,1.29587,301.432,34.6314,0.807247
511,SVD (Block),FHD,0.039,1.32477,281.481,34.4106,0.799904
511,SVD (Block),FHD,0.04,2.27206,305.643,34.195,0.79254
511,SVD (Block),FHD,0.041,2.3656,309.746,33.985,0.785202
512,SVD (Block),FHD,0.042,1.31635,273.621,33.7808,0.777937
512,SVD (Block),FHD,0.043,1.29254,297.429,33.5814,0.770661
512,SVD (Block),FHD,0.044,1.34726,248.352,33.3859,0.763398
512,SVD (Block),FHD,0.045,1.34339,226.118,33.1946,0.756172
513,SVD (Block),FHD,0.046,1.30282,248.705,33.0081,0.748987
513,SVD (Block),FHD,0.047,1.32301,231.341,32.827,0.741909
513,SVD (Block),FHD,0.048,1.33738,243.942,32.6474,0.734786
513,SVD (Block),FHD,0.049,2.7209,280.504,32.4715,0.727742
514,SVD (Block),FHD,0.05,2.15654,275.593,32.301,0.720818
514,SVD (Block),FHD,0.051,1.33277,219.972,32.1334,0.713917
514,SVD (Block),FHD,0.052,1.32301,265.902,31.9689,0.707067
514,SVD (Block),FHD,0.053,1.30592,237.792,31.8067,0.700229
515,SVD (Block),FHD,0.054,1.32192,270.102,31.6492,0.693524
515,SVD (Block),FHD,0.055,1.32029,223.185,31.4938,0.686861
515,SVD (Block),FHD,0.056,1.33885,233.518,31.3404,0.680253
515,SVD (Block),FHD,0.057,1.30867,234.071,31.1908,0.67378
516,SVD (Block),FHD,0.058,1.30694,215.841,31.0435,0.667519
516,SVD (Block),FHD,0.059,1.35926,270.794,30.8862,0.65983
516,SVD (Block),FHD,0.06,1.30458,255.208,30.7578,0.654342
516,SVD (Block),FHD,0.061,1.35373,279.613,30.6182,0.648162
517,SVD (Block),FHD,0.062,1.32915,237.354,30.4804,0.641993
517,SVD (Block),FHD,0.0629999,1.32422,243.359,30.3461,0.635946
517,SVD (Block),FHD,0.064,1.31702,218.54,30.2123,0.629894
517,SVD (Block),FHD,0.065,1.32368,264.647,30.0811,0.623942
518,SVD (Block),FHD,0.066,1.31891,265.717,29.9525,0.618039
518,SVD (Block),FHD,0.067,1.34554,254.72,29.8242,0.612191
518,SVD (Block),FHD,0.068,1.30973,272.877,29.6997,0.606498
518,SVD (Block),FHD,0.069,1.28906,260.264,29.577,0.600846
519,SVD (Block),FHD,0.07,1.30662,190.148,29.4555,0.595238
519,SVD (Block),FHD,0.071,1.30541,188.565,29.3355,0.589686
519,SVD (Block),FHD,0.072,1.30435,187.931,29.2178,0.584271
519,SVD (Block),FHD,0.073,1.32771,169.8,29.1012,0.57888
520,SVD (Block),FHD,0.074,1.3353,174.438,28.9871,0.573578
520,SVD (Block),FHD,0.075,1.8023,181.681,28.8751,0.568339
520,SVD (Block),FHD,0.076,1.29638,179.301,28.7638,0.563364
520,SVD (Block),FHD,0.077,1.87261,178.416,28.653,0.558156
521,SVD (Block),FHD,0.078,1.3295,174.631,28.5439,0.553099
521,SVD (Block),FHD,0.079,1.32131,175.215,28.4373,0.548154
521,SVD (Block),FHD,0.08,1.33126,182.578,28.3309,0.543277
521,SVD (Block),FHD,0.081,2.13229,184.877,28.2265,0.538456
522,SVD (Block),FHD,0.082,1.32576,177.646,28.1239,0.533737
522,SVD (Block),FHD,0.083,1.31891,178.289,28.0219,0.529051
522,SVD (Block),FHD,0.084,1.3191,179.204,27.921,0.524426
522,SVD (Block),FHD,0.085,1.31686,176.456,27.822,0.519881
523,SVD (Block),FHD,0.086,1.30077,174.083,27.7243,0.515411
523,SVD (Block),FHD,0.087,1.31488,173.647,27.6269,0.510975
523,SVD (Block),FHD,0.088,1.40528,174.192,27.5306,0.506599
523,SVD (Block),FHD,0.089,1.31997,182.308,27.436,0.502307
524,SVD (Block),FHD,0.09,1.31331,177.613,27.343,0.498108
524,SVD (Block),FHD,0.091,1.35872,177.659,27.2503,0.493937
524,SVD (Block),FHD,0.092,1.32304,187.544,27.1589,0.489849
524,SVD (Block),FHD,0.093,1.31741,273.523,27.0685,0.485737
525,SVD (Block),FHD,0.094,1.30701,267.085,26.9781,0.48172
525,SVD (Block),FHD,0.095,1.28966,257.926,26.8897,0.477793
525,SVD (Block),FHD,0.096,1.31693,249.404,26.8018,0.473901
525,SVD (Block),FHD,0.097,1.31562,268.399,26.7155,0.470095
526,SVD (Block),FHD,0.098,1.33942,303.465,26.63,0.466339
526,SVD (Block),FHD,0.099,1.32794,336.735,26.545,0.462609
526,SVD (Block),FHD,0.1,1.31277,273.805,26.461,0.458934
526,SVD (Block),FHD,0.101,1.31277,274.255,26.3779,0.455325
527,SVD (Block),FHD,0.102,1.31277,268.422,26.2958,0.451768
527,SVD (Block),FHD,0.103,1.31712,245.736,26.214,0.448237
527,SVD (Block),FHD,0.104,1.34461,270.946,26.1333,0.444781
527,SVD (Block),FHD,0.105,1.83798,304.459,26.0533,0.441375
528,SVD (Block),FHD,0.106,1.33709,256.544,25.9742,0.438003
528,SVD (Block),FHD,0.107,1.83142,300.817,25.8963,0.434709
528,SVD (Block),FHD,0.108,1.32429,342.621,25.8183,0.4314
528,SVD (Block),FHD,0.109,1.30515,204.847,25.7417,0.428208
529,SVD (Block),FHD,0.11,1.32202,283.556,25.6655,0.425012
529,SVD (Block),FHD,0.111,1.92742,265.153,25.5899,0.421864
529,SVD (Block),FHD,0.112,1.29763,254.084,25.5151,0.418767
529,SVD (Block),FHD,0.113,1.34282,254.529,25.4412,0.415723
530,SVD (Block),FHD,0.114,1.3328,294.178,25.3682,0.412736
530,SVD (Block),FHD,0.115,1.31667,288.692,25.2952,0.409795
530,SVD (Block),FHD,0.116,1.3472,291.819,25.223,0.406876
530,SVD (Block),FHD,0.117,1.29818,258.19,25.1518,0.403986
531,SVD (Block),FHD,0.118,1.33917,280.022,25.0811,0.401126
531,SVD (Block),FHD,0.119,1.30643,275.45,25.0106,0.398323
531,SVD (Block),FHD,0.12,2.17626,280.589,24.941,0.395569
531,SVD (Block),FHD,0.121,1.34346,250.852,24.8723,0.392879
532,SVD (Block),FHD,0.122,1.34048,203.273,24.804,0.3902
532,SVD (Block),FHD,0.123,1.3353,192.781,24.7361,0.387553
532,SVD (Block),FHD,0.124,1.36192,212.536,24.6688,0.38494
532,SVD (Block),FHD,0.125,2.1257,234.667,24.6022,0.382347
533,SVD (Block),FHD,0.126,1.31891,250.035,24.5358,0.379805
533,SVD (Block),FHD,0.127,1.32861,266.026,24.4702,0.377295
533,SVD (Block),FHD,0.128,1.31642,249.806,24.4055,0.374828
533,SVD (Block),FHD,0.129,1.35578,291.637,24.3404,0.372383
534,SVD (Block),FHD,0.13,1.34368,286.767,24.2767,0.369977
534,SVD (Block),FHD,0.131,1.34294,265.557,24.2136,0.36763
534,SVD (Block),FHD,0.132,1.32301,264.154,24.1503,0.365258
534,SVD (Block),FHD,0.133,1.33414,249.736,24.0876,0.362949
535,SVD (Block),FHD,0.134,1.34762,227.415,24.0257,0.360671
535,SVD (Block),FHD,0.135,1.31296,209.364,23.9639,0.35842
535,SVD (Block),FHD,0.136,1.35174,240.283,23.9029,0.356194
535,SVD (Block),FHD,0.137,1.29488,199.577,23.8423,0.354013
536,SVD (Block),FHD,0.138,1.30922,199.07,23.7822,0.35185
536,SVD (Block),FHD,0.139,1.3001,236.98,23.7224,0.349716
536,SVD (Block),FHD,0.14,1.32426,220.152,23.6631,0.347608
536,SVD (Block),FHD,0.141,1.3271,252.1,23.6043,0.34552
537,SVD (Block),FHD,0.142,1.9081,274.954,23.5457,0.343454
537,SVD (Block),FHD,0.143,1.31098,264.849,23.4878,0.341436
537,SVD (Block),FHD,0.144,1.88826,259.094,23.43,0.339434
537,SVD (Block),FHD,0.145,1.38662,245.027,23.3732,0.337465
538,SVD (Block),FHD,0.146,1.3335,230.915,23.3165,0.335517
538,SVD (Block),FHD,0.147,1.33734,217.455,23.2594,0.333572
538,SVD (Block),FHD,0.148,1.32134,206.32,23.2041,0.331689
538,SVD (Block),FHD,0.149,1.34285,290.08,23.1488,0.329822
539,SVD (Block),FHD,0.15,1.3201,285.026,23.0935,0.327956
539,SVD (Block),FHD,0.151,1.31821,269.978,23.0376,0.326102
539,SVD (Block),FHD,0.152,1.3271,247.108,22.9843,0.324296
539,SVD (Block),FHD,0.153,1.31146,261.477,22.9308,0.322575
540,SVD (Block),FHD,0.154,1.29843,272.538,22.8767,0.320835
540,SVD (Block),FHD,0.155,1.30662,199.581,22.8229,0.319065
540,SVD (Block),FHD,0.156,2.16381,197.535,22.77,0.317364
540,SVD (Block),FHD,0.157,1.32064,209.898,22.7173,0.315645
541,SVD (Block),FHD,0.158,2.17178,240.665,22.6652,0.313963
541,SVD (Block),FHD,0.159,1.30662,234.611,22.6131,0.31233
541,SVD (Block),FHD,0.16,2.11126,220.582,22.5615,0.310679
541,SVD (Block),FHD,0.161,1.31277,217.56,22.5103,0.309069
542,SVD (Block),FHD,0.162,1.31869,243.321,22.4597,0.307478
542,SVD (Block),FHD,0.163,1.33734,210.59,22.4093,0.305889
542,SVD (Block),FHD,0.164,1.32301,204.885,22.3589,0.30438
542,SVD (Block),FHD,0.165,1.34422,235.219,22.3085,0.302817
543,SVD (Block),FHD,0.166,2.43686,209.157,22.2587,0.301292
543,SVD (Block),FHD,0.167,1.33322,198.733,22.2094,0.29979
543,SVD (Block),FHD,0.168,1.33331,202.972,22.1603,0.298297
543,SVD (Block),FHD,0.169,2.31072,202.687,22.112,0.296844
544,SVD (Block),FHD,0.17,1.35821,196.812,22.0632,0.295401
544,SVD (Block),FHD,0.171,1.32115,220.014,22.0151,0.293958
544,SVD (Block),FHD,0.172,1.30717,210.265,21.9675,0.292546
544,SVD (Block),FHD,0.173,1.34058,208.326,21.9199,0.291143
545,SVD (Block),FHD,0.174,1.32301,197.18,21.8725,0.289765
545,SVD (Block),FHD,0.175,1.29994,210.129,21.8255,0.288398
545,SVD (Block),FHD,0.176,1.34349,208.463,21.7791,0.287064
545,SVD (Block),FHD,0.177,1.32915,243.073,21.7327,0.285697
546,SVD (Block),FHD,0.178,1.31891,234.926,21.6863,0.284384
546,SVD (Block),FHD,0.179,1.36192,216.827,21.6403,0.283083
546,SVD (Block),FHD,0.18,2.16474,232.493,21.5948,0.2818
546,SVD (Block),FHD,0.181,2.17293,202.777,21.5495,0.280523
547,SVD (Block),FHD,0.182,1.32838,191.309,21.5044,0.27926
547,SVD (Block),FHD,0.183,1.32416,222.521,21.4595,0.278017
547,SVD (Block),FHD,0.184,2.74406,218.862,21.4151,0.276785
547,SVD (Block),FHD,0.185,1.33747,220.094,21.3707,0.275575
548,SVD (Block),FHD,0.186,1.30573,213.156,21.3265,0.274372
548,SVD (Block),FHD,0.187,1.3199,232.136,21.2827,0.273184
548,SVD (Block),FHD,0.188,1.33939,215.628,21.2392,0.271996
548,SVD (Block),FHD,0.189,1.36797,225.643,21.1961,0.270847
549,SVD (Block),FHD,0.19,1.33101,217.537,21.1528,0.269687
549,SVD (Block),FHD,0.191,1.30458,203.304,21.1099,0.26855
549,SVD (Block),FHD,0.192,1.30458,201.51,21.0675,0.267419
549,SVD (Block),FHD,0.193,1.30867,207.007,21.0245,0.266292
550,SVD (Block),FHD,0.194,1.34963,227.921,20.9825,0.265191
550,SVD (Block),FHD,0.195,1.36416,233.121,20.9407,0.264107
550,SVD (Block),FHD,0.196,1.29386,203.367,20.8991,0.26303
550,SVD (Block),FHD,0.197,1.30992,233.682,20.8574,0.261951
551,SVD (Block),FHD,0.198,1.33747,263.959,20.8163,0.260895
551,SVD (Block),FHD,0.199,1.34061,208.52,20.7754,0.259858
551,SVD (Block),FHD,0.2,1.31686,213.276,20.7344,0.258817
551,SVD (Block),FHD,0.201,1.3519,217.721,20.6935,0.257792
552,SVD (Block),FHD,0.202,1.28861,208.268,20.653,0.25677
552,SVD (Block),FHD,0.203,1.34435,212.864,20.6129,0.255779
